x	y	key	tooltip	clickSelects	showSelected1
-0.295719688539905	-0.950800097354679	6	fold 6 featureless=-0.296 rpart=-0.951	6	sin easy 121
-0.249640417103692	-1.32193673026358	1	fold 1 featureless=-0.250 rpart=-1.322	1	sin easy 165
-0.296644603477655	-1.20402184422457	2	fold 2 featureless=-0.297 rpart=-1.204	2	sin easy 165
-0.279682243716429	-1.11615807109594	3	fold 3 featureless=-0.280 rpart=-1.116	3	sin easy 165
-0.318660432410436	-1.05761709124726	4	fold 4 featureless=-0.319 rpart=-1.058	4	sin easy 165
-0.298786552840027	-1.08626112808493	5	fold 5 featureless=-0.299 rpart=-1.086	5	sin easy 165
-0.298772270379544	-1.14844799633395	6	fold 6 featureless=-0.299 rpart=-1.148	6	sin easy 165
-0.250143592502292	-1.35189833796928	1	fold 1 featureless=-0.250 rpart=-1.352	1	sin easy 226
-0.298992206235589	-1.30408158049007	2	fold 2 featureless=-0.299 rpart=-1.304	2	sin easy 226
-0.280019544344123	-1.18683663159039	3	fold 3 featureless=-0.280 rpart=-1.187	3	sin easy 226
-0.325371528898035	-1.24401901764208	4	fold 4 featureless=-0.325 rpart=-1.244	4	sin easy 226
-0.304638782261637	-1.16900099954607	5	fold 5 featureless=-0.305 rpart=-1.169	5	sin easy 226
-0.294055329939037	-1.207614283655	6	fold 6 featureless=-0.294 rpart=-1.208	6	sin easy 226
-0.257826302750699	-1.35067314687939	1	fold 1 featureless=-0.258 rpart=-1.351	1	sin easy 308
-0.301893110347717	-1.26784505195212	2	fold 2 featureless=-0.302 rpart=-1.268	2	sin easy 308
-0.279810655021778	-1.27712752959277	3	fold 3 featureless=-0.280 rpart=-1.277	3	sin easy 308
-0.325156810868404	-1.18637556065412	4	fold 4 featureless=-0.325 rpart=-1.186	4	sin easy 308
-0.303315538705175	-1.19437666260385	5	fold 5 featureless=-0.303 rpart=-1.194	5	sin easy 308
-0.300551842801267	-1.25360792361514	6	fold 6 featureless=-0.301 rpart=-1.254	6	sin easy 308
-0.256187025846997	-1.32210466790861	1	fold 1 featureless=-0.256 rpart=-1.322	1	sin easy 421
-0.299533699483255	-1.30194068432635	2	fold 2 featureless=-0.300 rpart=-1.302	2	sin easy 421
-0.279937522263565	-1.31815725807745	3	fold 3 featureless=-0.280 rpart=-1.318	3	sin easy 421
-0.323480356786885	-1.21825969626104	4	fold 4 featureless=-0.323 rpart=-1.218	4	sin easy 421
-0.303786862120588	-1.24042568559858	5	fold 5 featureless=-0.304 rpart=-1.240	5	sin easy 421
-0.299719887088705	-1.30290216467628	6	fold 6 featureless=-0.300 rpart=-1.303	6	sin easy 421
-0.257861767833688	-1.24125667696298	1	fold 1 featureless=-0.258 rpart=-1.241	1	sin easy 575
-0.302511463314089	-1.26728340959065	2	fold 2 featureless=-0.303 rpart=-1.267	2	sin easy 575
-0.27979120757888	-1.25942529445696	3	fold 3 featureless=-0.280 rpart=-1.259	3	sin easy 575
-0.325102158143155	-1.21641334471702	4	fold 4 featureless=-0.325 rpart=-1.216	4	sin easy 575
-0.305064566157455	-1.26477236926875	5	fold 5 featureless=-0.305 rpart=-1.265	5	sin easy 575
-0.296325058730163	-1.2893536157067	6	fold 6 featureless=-0.296 rpart=-1.289	6	sin easy 575
-0.261047140529519	-1.27720030330553	1	fold 1 featureless=-0.261 rpart=-1.277	1	sin easy 785
-0.304937334129445	-1.24093313791623	2	fold 2 featureless=-0.305 rpart=-1.241	2	sin easy 785
-0.279105255782734	-1.27333739969254	3	fold 3 featureless=-0.279 rpart=-1.273	3	sin easy 785
-0.326156853243078	-1.22712436203456	4	fold 4 featureless=-0.326 rpart=-1.227	4	sin easy 785
-0.30424584081761	-1.29260881373151	5	fold 5 featureless=-0.304 rpart=-1.293	5	sin easy 785
-0.30029737076989	-1.30851612305237	6	fold 6 featureless=-0.300 rpart=-1.309	6	sin easy 785
-0.263181769970694	-1.34511622845339	1	fold 1 featureless=-0.263 rpart=-1.345	1	sin easy 1072
-0.305821479878214	-1.3342784143036	2	fold 2 featureless=-0.306 rpart=-1.334	2	sin easy 1072
-0.27792986777285	-1.36878096389412	3	fold 3 featureless=-0.278 rpart=-1.369	3	sin easy 1072
-0.328305274592424	-1.28528103800812	4	fold 4 featureless=-0.328 rpart=-1.285	4	sin easy 1072
-0.305003746724558	-1.28053727119642	5	fold 5 featureless=-0.305 rpart=-1.281	5	sin easy 1072
-0.298189121550319	-1.28373440792255	6	fold 6 featureless=-0.298 rpart=-1.284	6	sin easy 1072
-0.263003340333399	-1.28054636768018	1	fold 1 featureless=-0.263 rpart=-1.281	1	sin easy 1464
-0.305944010939907	-1.30095699474296	2	fold 2 featureless=-0.306 rpart=-1.301	2	sin easy 1464
-0.278075494290445	-1.36187149961169	3	fold 3 featureless=-0.278 rpart=-1.362	3	sin easy 1464
-0.328061362204009	-1.29218511704162	4	fold 4 featureless=-0.328 rpart=-1.292	4	sin easy 1464
-0.304901890212801	-1.28160702952642	5	fold 5 featureless=-0.305 rpart=-1.282	5	sin easy 1464
-0.297298438164843	-1.29739249986213	6	fold 6 featureless=-0.297 rpart=-1.297	6	sin easy 1464
-0.262813538736254	-1.29573073845409	1	fold 1 featureless=-0.263 rpart=-1.296	1	sin easy 2000
-0.305922979267882	-1.29536473425425	2	fold 2 featureless=-0.306 rpart=-1.295	2	sin easy 2000
-0.278561183708448	-1.36332887213767	3	fold 3 featureless=-0.279 rpart=-1.363	3	sin easy 2000
-0.327055230173904	-1.2503765298469	4	fold 4 featureless=-0.327 rpart=-1.250	4	sin easy 2000
-0.30428765153223	-1.27963805116072	5	fold 5 featureless=-0.304 rpart=-1.280	5	sin easy 2000
-0.298570310999324	-1.28171061415246	6	fold 6 featureless=-0.299 rpart=-1.282	6	sin easy 2000
0.49383244760574	0.49383244760574	1	fold 1 featureless=0.494 rpart=0.494	1	sin hard 10
0.59343088862258	0.59343088862258	2	fold 2 featureless=0.593 rpart=0.593	2	sin hard 10
0.564341130330388	0.564341130330388	3	fold 3 featureless=0.564 rpart=0.564	3	sin hard 10
0.492688141313517	0.492688141313517	4	fold 4 featureless=0.493 rpart=0.493	4	sin hard 10
0.534749851716642	0.534749851716642	5	fold 5 featureless=0.535 rpart=0.535	5	sin hard 10
0.51184983836417	0.51184983836417	6	fold 6 featureless=0.512 rpart=0.512	6	sin hard 10
0.492243294804455	0.492243294804455	1	fold 1 featureless=0.492 rpart=0.492	1	sin hard 14
0.582916576965718	0.582916576965718	2	fold 2 featureless=0.583 rpart=0.583	2	sin hard 14
0.558775262934475	0.558775262934475	3	fold 3 featureless=0.559 rpart=0.559	3	sin hard 14
0.489126385514936	0.489126385514936	4	fold 4 featureless=0.489 rpart=0.489	4	sin hard 14
0.53436823428191	0.53436823428191	5	fold 5 featureless=0.534 rpart=0.534	5	sin hard 14
0.511338924857915	0.511338924857915	6	fold 6 featureless=0.511 rpart=0.511	6	sin hard 14
0.499095754885258	0.499095754885258	1	fold 1 featureless=0.499 rpart=0.499	1	sin hard 19
0.600304477669503	0.600304477669503	2	fold 2 featureless=0.603 rpart=0.603	2	sin hard 19
0.574059170554662	0.574059170554662	3	fold 3 featureless=0.574 rpart=0.574	3	sin hard 19
0.468687181521652	0.468687181521652	4	fold 4 featureless=0.469 rpart=0.469	4	sin hard 19
0.5369886441004	0.5369886441004	5	fold 5 featureless=0.537 rpart=0.537	5	sin hard 19
0.508379285245324	0.508379285245324	6	fold 6 featureless=0.508 rpart=0.508	6	sin hard 19
0.519771546894582	0.51049614901523	1	fold 1 featureless=0.520 rpart=0.510	1	sin hard 25
0.600304477669503	0.600304477669503	2	fold 2 featureless=0.653 rpart=0.659	2	sin hard 25
0.600304477669503	0.600304477669503	3	fold 3 featureless=0.618 rpart=0.638	3	sin hard 25
0.476475273014351	0.484652492521067	4	fold 4 featureless=0.476 rpart=0.485	4	sin hard 25
0.556010475774754	0.553234934193189	5	fold 5 featureless=0.556 rpart=0.553	5	sin hard 25
0.506970328088078	0.522701692457046	6	fold 6 featureless=0.507 rpart=0.523	6	sin hard 25
0.51280043401964	0.507074378762361	1	fold 1 featureless=0.513 rpart=0.507	1	sin hard 35
0.593062953671749	0.566706748547108	2	fold 2 featureless=0.593 rpart=0.567	2	sin hard 35
0.590463522645404	0.579817042759941	3	fold 3 featureless=0.590 rpart=0.580	3	sin hard 35
0.473062548827432	0.52793914413856	4	fold 4 featureless=0.473 rpart=0.528	4	sin hard 35
0.551798317870249	0.583013391884846	5	fold 5 featureless=0.552 rpart=0.583	5	sin hard 35
0.506750753024047	0.517552778799207	6	fold 6 featureless=0.507 rpart=0.518	6	sin hard 35
0.494363148440852	0.475455698999258	1	fold 1 featureless=0.494 rpart=0.475	1	sin hard 48
0.541637832282943	0.58651646813355	2	fold 2 featureless=0.542 rpart=0.587	2	sin hard 48
0.564479124897438	0.549666343614552	3	fold 3 featureless=0.564 rpart=0.550	3	sin hard 48
0.468734253953212	0.510269149055636	4	fold 4 featureless=0.469 rpart=0.510	4	sin hard 48
0.548507911332027	0.589349173510255	5	fold 5 featureless=0.549 rpart=0.589	5	sin hard 48
0.507418785947974	0.567846554660599	6	fold 6 featureless=0.507 rpart=0.568	6	sin hard 48
0.496527114110123	0.479856487358497	1	fold 1 featureless=0.497 rpart=0.480	1	sin hard 65
0.534537179451257	0.549138659908361	2	fold 2 featureless=0.535 rpart=0.549	2	sin hard 65
0.564537238112485	0.542217075668229	3	fold 3 featureless=0.565 rpart=0.542	3	sin hard 65
